Station,Event,SAMPLE_ID,START_DEPTH,Oxy_CTD_P,Oxy_CTD_S,Oxy_W_Rep1,Oxy_W_Rep2
HL_02,1,490270,147.739,4.7416,4.7514,4.942,4.939
HL_02,1,490271,102.779,6.3035,6.3413,,
HL_02,1,490272,82.583,6.5815,6.5935,,
HL_02,1,490273,62.59,6.6987,6.7847,,
HL_02,1,490274,52.423,6.8841,6.9842,,
HL_02,1,490275,42.432,7.5316,7.6139,,
HL_02,1,490276,32.016,7.9603,8.027,,
HL_02,1,490277,22.608,7.9559,8.0266,,
HL_02,1,490278,12.109,7.9228,8.045,8.111,
HL_02,1,490279,2.305,7.9461,8.0462,,
HL_02,1,490280,2.72,7.9312,8.0346,,
YL_01,7,490281,70.632,6.7187,6.8007,6.928,6.949
YL_01,7,490282,62.677,6.7716,6.799,,
YL_01,7,490283,52.522,6.7996,6.864,,
YL_01,7,490284,42.516,6.8081,6.9093,,
YL_01,7,490285,32.82,6.8699,6.9311,,
YL_01,7,490286,22.817,6.9558,6.9957,,
YL_01,7,490287,12.65,6.9353,7.0176,7.157,
YL_01,7,490288,3.199,6.967,7.0146,,
YL_01,7,490289,3.274,6.9572,7.0281,,
YL_02,8,490290,122.54,5.0338,5.1104,5.233,
YL_02,8,490291,102.863,5.0598,5.1286,,
YL_02,8,490292,82.571,5.0913,5.1696,,
YL_02,8,490293,63.064,5.55,5.632,,
YL_02,8,490294,52.927,5.8088,5.8685,,
YL_02,8,490295,43.018,6.237,6.2923,,
YL_02,8,490296,33.053,6.34,6.409,,
YL_02,8,490297,23.644,6.4741,6.5701,,
YL_02,8,490298,13.389,6.5194,6.577,6.7,6.578
YL_02,8,490299,2.603,6.5092,6.6036,,
YL_02,8,490300,2.5,6.549,6.6067,,
YL_03,12,490301,201.985,3.7652,3.8109,3.945,3.959
YL_03,12,490302,150.324,3.9174,3.9754,,
YL_03,12,490303,100.429,4.9244,4.9499,,
YL_03,12,490304,81.18,5.4923,5.5689,,
YL_03,12,490305,61.175,6.4397,6.5032,,
YL_03,12,490306,51.235,6.4437,6.5463,,
YL_03,12,490307,41.282,6.4879,6.5644,,
YL_03,12,490308,31.278,6.5325,6.586,,
YL_03,12,490309,21.259,6.5353,6.6038,,
YL_03,12,490310,11.283,6.5308,6.6204,,
YL_03,12,490311,4.05,6.5421,6.6165,6.759,
YL_03,12,490312,4.196,6.5415,6.6172,,
YL_04,13,490313,235.993,3.3386,3.3712,3.538,
YL_04,13,490314,152.155,3.92,3.9804,,
YL_04,13,490315,102.178,5.149,5.2181,,
YL_04,13,490316,81.861,5.7325,5.7877,,
YL_04,13,490317,61.882,6.5768,6.6176,,
YL_04,13,490318,51.776,6.7181,6.7914,,
YL_04,13,490319,41.889,6.7403,6.8143,,
YL_04,13,490320,31.731,6.7372,6.8342,,
YL_04,13,490321,21.864,6.7327,6.8362,,
YL_04,13,490322,11.909,6.725,6.8227,6.968,6.965
YL_04,13,490323,3.035,6.7566,6.826,,
YL_04,13,490324,3.236,6.7551,6.8253,,
YL_05,16,490325,172.123,3.9934,4.0305,3.732,2.906
YL_05,16,490326,151.402,4.6356,4.6456,,
YL_05,16,490327,99.017,5.7466,5.7587,,
YL_05,16,490328,81.508,5.7354,5.7509,,
YL_05,16,490329,61.636,6.4817,6.5289,,
YL_05,16,490330,51.53,6.6473,6.7086,,
YL_05,16,490331,41.553,6.891,6.9269,,
YL_05,16,490332,31.568,7.0261,7.0495,,
YL_05,16,490333,21.553,7.0086,7.0624,,
YL_05,16,490334,11.571,7.0618,7.0971,7.047,
YL_05,16,490335,2.247,7.0864,7.1124,,
YL_05,16,490336,2.338,7.0629,7.1164,,
YL_06,17,490337,142.184,5.9994,6.0301,6.254,
YL_06,17,490338,100.944,6.0944,6.1379,,
YL_06,17,490339,81.624,6.5327,6.5872,,
YL_06,17,490340,61.814,6.7293,6.7651,,
YL_06,17,490341,51.585,6.9911,6.9975,,
YL_06,17,490342,41.402,7.0082,7.0362,,
YL_06,17,490343,31.512,7.0436,7.0774,,
YL_06,17,490344,21.523,7.038,7.0382,,
YL_06,17,490345,11.704,6.9822,7.045,7.223,7.226
YL_06,17,490346,1.89,7.0722,7.0942,,
YL_06,17,490347,1.853,7.0055,7.0692,,
YL_07,20,490348,149.207,5.6879,5.7085,5.916,5.905
YL_07,20,490349,100.762,6.0849,6.1534,,
YL_07,20,490350,80.651,6.423,6.4689,,
YL_07,20,490351,61.173,6.6786,6.6996,,
YL_07,20,490352,51.296,6.8422,6.8713,,
YL_07,20,490353,41.314,6.8565,6.9271,,
YL_07,20,490354,31.281,6.8913,6.9408,,
YL_07,20,490355,21.272,6.9351,6.9784,,
YL_07,20,490356,11.267,6.9646,6.9765,7.154,
YL_07,20,490357,2.603,6.9376,6.9834,,
YL_07,20,490358,2.625,6.9508,6.9757,,
YL_08,21,490359,148.823,6.4842,6.4953,6.683,
YL_08,21,490360,101.338,6.482,6.5324,,
YL_08,21,490361,81.869,6.5411,6.5804,,
YL_08,21,490362,61.916,6.5937,6.6239,,
YL_08,21,490363,51.815,6.7904,6.7934,,
YL_08,21,490364,41.842,6.8992,6.9287,,
YL_08,21,490365,31.968,6.9439,6.9715,,
YL_08,21,490366,21.943,6.9842,7.0239,,
YL_08,21,490367,11.96,7.0131,7.0232,7.222,7.209
YL_08,21,490368,2.677,6.9971,7.0203,,
YL_08,21,490369,2.844,6.9981,7.0174,,
YL_09,24,490370,80.532,6.3709,6.4192,6.59,6.605
YL_09,24,490371,80.375,6.3888,6.4225,,
YL_09,24,490372,62.406,6.5359,6.5933,,
YL_09,24,490373,52.442,6.9858,7.0316,,
YL_09,24,490374,42.502,7.0481,7.0943,,
YL_09,24,490375,32.403,7.1293,7.1355,,
YL_09,24,490376,22.515,7.1174,7.1759,,
YL_09,24,490377,12.531,7.2309,7.2358,7.409,
YL_09,24,490378,2.475,7.2246,7.2638,,
YL_09,24,490379,2.74,7.2178,7.257,,
YL_10,25,490380,116.491,6.54,6.5548,6.745,
YL_10,25,490381,82.663,6.6161,6.6364,,
YL_10,25,490382,62.505,6.7259,6.7317,,
YL_10,25,490383,52.579,7.1527,7.1804,,
YL_10,25,490384,42.503,7.3835,7.4159,,
YL_10,25,490385,32.455,7.4691,7.5034,,
YL_10,25,490386,22.774,7.5243,7.5299,,
YL_10,25,490387,12.458,7.5084,7.5448,7.695,7.7
YL_10,25,490388,3.343,7.5002,7.5468,,
YL_10,25,490389,3.267,7.5431,7.5431,,
PL_01,28,490390,126.262,6.503,6.5016,6.662,6.678
PL_01,28,490391,102.925,6.4684,6.5195,,
PL_01,28,490392,82.865,6.5053,6.5366,,
PL_01,28,490393,63.503,6.5627,6.6061,,
PL_01,28,490394,53.244,6.6621,6.7125,,
PL_01,28,490395,43.456,6.8677,6.8755,,
PL_01,28,490396,33.338,7.146,7.0942,,
PL_01,28,490397,23.507,7.367,7.4161,,
PL_01,28,490398,13.16,7.4224,7.4387,7.575,
PL_01,28,490399,3.503,7.4121,7.4631,,
PL_01,28,490400,3.355,7.4005,7.4715,,
PL_02,29,490401,161.664,6.215,6.2624,6.428,
